Nº Contrato	Objeto	Função de Governo	Endereço da Obra (completo) 	"Valor Total Contratado 
(Inicial + Aditivos)"	Nome da(s) Empresa(s) Contratada(s)	"Data de Início da Obra
 (Ordem de Serviço)"	"Nível de Execução Física 
(% de medição) até 31/03/2026"	Valor Total Liquidado até 31/03/2026	Data Prevista para Conclusão	Situação da Obra	Motivo da Paralisação da Obra	"Data da Paralisação
 (Ordem de Paralisação)"	Responsável pela Inexecução da Obra	Data Prevista para o reinício da obra 	"A obra foi licitada sob a égide da Nova Lei de Licitações e Contratos (NLLC) - lei nº 14133/2021? Em caso afirmativo: 
a) Divulga no Portal Nacional de Contratações Públicas (PNCP) os quantitativos e os preços unitários e totais contratados até 25 dias úteis após a assinatura  do contrato de obras? (Art. 94 parágrafo 3º);
b) Divulga no Portal Nacional de Contratações Públicas (PNCP) os quantitativos executados e os preços praticados até 45 dias úteis após a conclusão do contrato de obras? (Art.94 parágrafo 3º)."	Gestor do Contrato	Fiscal do Contrato	Observações	Secretaria		
159/2024	Reforma dos Campos Detroit e DER.	Desporto e Lazer	Detroit, Rua das Perobas e DER : Rua Olavo Bilac.	R$ 5.410.578,77	Reiscon Construtora e Terraplanagem Ltda.	28/05/2024	100%	R$ 5.021.188,96	05/02/2025	Concluída					Não	Edson Gonçalves Morimoto	João Paulo Lázaro Ferreira	Repasse Concluído -Pagamento finalizado.	SU		
106/2023	Demolição de edificação e construção de Complexo Aquático no bairro Batistini.	Desporto e Lazer	Rua das Flores, nº 470 - Batistini.	R$ 5.031.747,87	Construtora Norbex.	22/08/2023	100%	R$ 4.964.428,96	03/11/2025	Concluída					Não	André Figueira Marzolla	Ivie Ferrari Della Pietra	Obra encerrada e sem pendências. Termo de recebimento definitivo assinado em 03/11/2025.	SPO		
104/2023	Execução das obras de construção da EMEB Regina Rocco, Creche localizada na Via Interna do Complexo Tiradentes, Vila São Pedro- Bairro Montanhão.	Educação	Rua Tiradentes, nº 1845 - Vila São Pedro. São Bernardo do Campó - SP, 09781-220.	R$ 7.720.606,71	Nobre Correia Engenharia e Construção Ltda.	24/01/2023	100%	R$ 7.678.214,92	03/02/2026	Concluída					Não	JULIO CESAR DA COSTA ALEXANDRE	Ellen Cesonis Oliveto	Aguardando o recebimento definitivo.	SE		
133/2023	Recuperação das edificações da área amazônica da Cidade da Criança para implantação do Centro Turístico de São Bernardo do Campo.	Urbanismo	Rua Kara, nº 105 - Jardim do Mar.	R$ 1.108.152,87	REISCON Construtora e Terraplanagem Ltda.	03/10/2023	100%	R$ 884.250,87	04/10/2025	Concluída					Não	Rafael Demarchi	Rafael Demarchi	O pagamento da última medição encontra-se pendente.	SDETJ		
004/2024	Execução de obra de implantação da Casa da Mulher.	Assistência Social	Rua Senador Ricardo Batista, s/nº - Bairro Assunção.	R$ 1.348.704,00	DR3 Engenharia Ltda.	04/02/2024	100%	R$ 737.672,02	01/10/2024	Concluída	 - 	 - 	 - 	-	Não	André Sicco de Souza	LEANDRO NEVES OLIVEIRA	Aguardando repasse estadual e emissão de Termo de Recebimento Definitivo.	SEDESC		
040/2021	Execução de obras de Urbanização Integrada dos Assentamentos Precários Areião, Sabesp, Vila dos Estudantes e Monte Sião (Etapa 2 - Lote 1).	Habitação	Estrada do Areião / Rua Carlos Augusto.	R$ 30.764.512,28	Construtora Kamilos Ltda.	16/05/2022	57%	R$ 17.052,745,23	16/05/2026	Em Andamento					Não	Bruno Junqueira Mattar	Bruno Junqueira Mattar		SEHAB		
041/2021	Execução de obras de Urbanização Integrada dos Assentamentos Precários Areião, Sabesp, Vila dos Estudantes e Monte Sião (Etapa 2 - Lote 2).	Habitação	Estrada do Areião / Rua Antonio Fugêncio.	R$ 28.883.616,78	Compec Galasso Engenharia e Construções Ltda.	16/06/2023	63%	R$ 14.969.769,73	16/11/2026	Em Andamento					Não	Gerson de Andrade	Aline de Sousa Morais		SEHAB		
042/2021	Execução de obras de Urbanização Integrada dos Assentamentos Precários Areião, Sabesp, Vila dos Estudantes e Monte Sião (Etapa 2 - Lote 3).	Habitação	Estrada do Areião / Rua Santa Rita.	R$ 21.736.138,27	Compec Galasso Engenharia e Construções Ltda.	16/06/2023	40%	R$ 6.872.612,25	16/12/2026	Em Andamento					Não	Gerson de Andrade	Aline de Sousa Morais		SEHAB		
062/2022	Implantação do Centro Comunitário de Interesse Social, denominado PAC Mananciais - Etapa 3, e implantação do Centro Comercial  de Interesse Social, denominado PAC Mananciais Etapa 6.	Habitação	Estrada do Areião.	R$ 14.562.878,94	Teto Construtora S.A.	06/06/2022	98%	R$ 11.447.079,85	09/05/2026	Em Andamento					Não	Bruno Junqueira Mattar	Bruno Junqueira Mattar	Obra em fase de conclusão.	SEHAB		
060/2022	Execução de obras de melhoramento de bairro do projeto Parque Imigrantes - Lote 1.	Habitação	Rua José Martins Fernandes.	R$ 39.913.740,79	Compec Galasso Engenharia e Construções Ltda.	06/06/2022	75%	R$ 15.006.227,03	06/06/2026	Em Andamento					Não	Marcos Paulo Pires do Amaral	Marcos Paulo Pires do Amaral		SEHAB		
